entity_id,branch,panel,cohort_label,sample_type,coord,qc_status,has_all_primary_inputs,n_parquet_cells,tissue_class,adjusted_area_percent
"TMA|AR|[43899,17017]",TMA,AR,NAC2020,TURBT,"[43899,17017]",Acceptable,True,7433.0,Stroma,99.92869875222816
"TMA|AR|[43969,6545]",TMA,AR,NAC2020,TURBT,"[43969,6545]",Acceptable,True,7875.0,Stroma,50.925670074606245
"TMA|AR|[44080,11618]",TMA,AR,NAC2020,TURBT,"[44080,11618]",Acceptable,True,13463.0,Stroma,73.51245512890242
"TMA|AR|[44278,8128]",TMA,AR,NAC2020,TURBT,"[44278,8128]",Acceptable,True,7702.0,Stroma,44.816623140683554
"TMA|AR|[45119,11501]",TMA,AR,NAC2020,TURBT,"[45119,11501]",Acceptable,True,7779.0,Stroma,88.80293159609121
"TMA|AR|[45277,9876]",TMA,AR,NAC2020,TURBT,"[45277,9876]",Acceptable,True,8920.0,Stroma,52.06198450387404
"TMA|AR|[45428,18873]",TMA,AR,NAC2020,TURBT,"[45428,18873]",Acceptable,True,8784.0,Stroma,27.84692334535303
"TMA|AR|[45547,17089]",TMA,AR,NAC2020,TURBT,"[45547,17089]",Acceptable,True,8437.0,Stroma,81.27249357326478
"TMA|AR|[45626,15305]",TMA,AR,NAC2020,TURBT,"[45626,15305]",Acceptable,True,9320.0,Stroma,87.73562676720076
"TMA|AR|[45666,13481]",TMA,AR,NAC2020,TURBT,"[45666,13481]",Acceptable,True,9668.0,Stroma,24.394443806681206
"TMA|AR|[45825,11657]",TMA,AR,NAC2020,TURBT,"[45825,11657]",Acceptable,True,9553.0,Stroma,84.67899563975341
"TMA|AR|[45864,9992]",TMA,AR,NAC2020,TURBT,"[45864,9992]",Acceptable,True,7893.0,Stroma,49.017243458338356
"TMA|AR|[45944,8247]",TMA,AR,NAC2020,TURBT,"[45944,8247]",Acceptable,True,7666.0,Stroma,88.71866295264624
"TMA|AR|[47094,18873]",TMA,AR,NAC2020,TURBT,"[47094,18873]",Acceptable,True,8482.0,Stroma,28.867771468304554
"TMA|AR|[47141,8290]",TMA,AR,NAC2020,TURBT,"[47141,8290]",Acceptable,True,6287.0,Stroma,52.83378746594005
"TMA|AR|[47252,17049]",TMA,AR,NAC2020,TURBT,"[47252,17049]",Acceptable,True,9104.0,Stroma,43.24119651647104
"TMA|AR|[47260,6664]",TMA,AR,NAC2020,TURBT,"[47260,6664]",Acceptable,True,7263.0,Stroma,35.832732516222066
"TMA|AR|[47371,15344]",TMA,AR,NAC2020,TURBT,"[47371,15344]",Acceptable,True,7347.0,Stroma,93.24819544697391
"TMA|AR|[47450,13521]",TMA,AR,NAC2020,TURBT,"[47450,13521]",Acceptable,True,7270.0,Stroma,33.57863177977651
"TMA|AR|[47530,8287]",TMA,AR,NAC2020,TURBT,"[47530,8287]",Acceptable,True,6601.0,Stroma,79.56417078423921
"TMA|AR|[47569,10032]",TMA,AR,NAC2020,TURBT,"[47569,10032]",Acceptable,True,5340.0,Stroma,68.62402579951626
"TMA|AR|[47569,11776]",TMA,AR,NAC2020,TURBT,"[47569,11776]",Acceptable,True,10402.0,Stroma,77.61405163267712
"TMA|AR|[48330,13206]",TMA,AR,NAC2020,TURBT,"[48330,13206]",Acceptable,True,5752.0,Stroma,70.12357265759424
"TMA|AR|[48838,18834]",TMA,AR,NAC2020,TURBT,"[48838,18834]",Acceptable,True,5250.0,Stroma,44.11657559198543
"TMA|AR|[48917,17089]",TMA,AR,NAC2020,TURBT,"[48917,17089]",Acceptable,True,6222.0,Stroma,74.41529146384899
"TMA|AR|[49036,15305]",TMA,AR,NAC2020,TURBT,"[49036,15305]",Acceptable,True,6116.0,Stroma,46.18679357525283
"TMA|AR|[49195,13600]",TMA,AR,NAC2020,TURBT,"[49195,13600]",Acceptable,True,8597.0,Stroma,10.296644141564542
"TMA|AR|[49195,8366]",TMA,AR,NAC2020,TURBT,"[49195,8366]",Acceptable,True,3931.0,Stroma,24.83590087073007
"TMA|AR|[49234,10150]",TMA,AR,NAC2020,TURBT,"[49234,10150]",Acceptable,True,9079.0,Stroma,81.27499143150919
"TMA|AR|[49274,11895]",TMA,AR,NAC2020,TURBT,"[49274,11895]",Borderline,True,5543.0,Stroma,62.89218028348463
"TMA|AR|[49877,14871]",TMA,AR,NAC2020,TURBT,"[49877,14871]",Borderline,True,4776.0,Stroma,69.74610625133347
"TMA|AR|[50075,13246]",TMA,AR,NAC2020,TURBT,"[50075,13246]",Acceptable,True,6174.0,Stroma,40.71841245918111
"TMA|AR|[50194,11541]",TMA,AR,NAC2020,TURBT,"[50194,11541]",Acceptable,True,4306.0,Stroma,54.90891504110914
"TMA|AR|[50543,18794]",TMA,AR,NAC2020,TURBT,"[50543,18794]",Acceptable,True,5043.0,Stroma,26.453874984886955
"TMA|AR|[50662,17089]",TMA,AR,NAC2020,TURBT,"[50662,17089]",Acceptable,True,6701.0,Stroma,66.98614318706697
"TMA|AR|[50781,15384]",TMA,AR,NAC2020,TURBT,"[50781,15384]",Acceptable,True,6307.0,Stroma,49.75558659217877
"TMA|AR|[50900,8445]",TMA,AR,NAC2020,TURBT,"[50900,8445]",Acceptable,True,4700.0,Stroma,64.87333151729774
"TMA|AR|[50908,6585]",TMA,AR,NAC2020,TURBT,"[50908,6585]",Acceptable,True,6564.0,Stroma,80.07801616049039
"TMA|AR|[50940,13679]",TMA,AR,NAC2020,TURBT,"[50940,13679]",Borderline,True,7736.0,Stroma,60.10554842390529
"TMA|AR|[50979,10230]",TMA,AR,NAC2020,TURBT,"[50979,10230]",Acceptable,True,8228.0,Stroma,88.86021987884227
